,Features,Importance
134,Genres_Strategy;Education,0.0
135,Genres_Strategy;Action & Adventure,0.0
136,Genres_Strategy;Creativity,0.0
137,Genres_Casual;Music & Video,0.0
138,Genres_Role Playing;Brain Games,0.0
139,Genres_Lifestyle;Pretend Play,0.0
140,Genres_Entertainment;Creativity,0.0
141,Genres_Entertainment;Education,0.0
142,Genres_Education;Music & Video,0.0
143,Genres_Education;Brain Games,0.0
144,Genres_Health & Fitness;Action & Adventure,0.0
145,Content Rating_Unrated,0.0
146,Genres_Lifestyle;Education,0.0
147,Genres_Communication;Creativity,0.0
148,Genres_Racing;Pretend Play,0.0
149,Genres_Music & Audio;Music & Video,0.0
150,Genres_Comics;Creativity,0.0
151,Genres_Parenting;Brain Games,0.0
152,Genres_Adventure;Brain Games,0.0
153,Genres_Puzzle;Creativity,0.0
154,Genres_Puzzle;Education,0.0
155,Genres_Adventure;Education,0.0
156,Genres_Health & Fitness;Education,0.0
